price,unit,location,bedrooms,baths,state
"1,000,000",per Year,"15 - 17 Bolaji Balogun Street, Ayonusi Estate, Old Shagamu Road,",5,6,Lagos
"600,000",per Year,"15 - 17 Bolaji Balogun Street, Ayonusi Estate, Old Shagamu Road, Ikorodu, Lagos,",3,3,Lagos
"250,000",per Year,"badore,owode and addo roads,",1,1,Lagos
"1,000,000",per Year,"ilupeju,",3,2,Lagos
"600,000",per Year,"badore road,",,,Lagos
"400,000",per Year,"badore road,",1,1,Lagos
"3,700,000",per Year,"Choba Uniport Road, Ph.,",2,2,Rivers
100,per Year,"Ozuoba NTA road Ph.,",,,Rivers
"12,500,000",per Year,"Ikoyi,",3,3,Lagos
"1,500,000",per Year,"alapere,",3,2,Lagos
15,per Year,"Asore,",4,3,Ogun
"15,000,000",per Year,"Gerard Road,",3,3,Lagos
"1,700,000",per Year,"Maryland Crescent,",3,,Lagos
"85,000",per Year,"23 Dipeolu street, off Obafemi Awolowo Way,",1,1,Lagos
"2,500,000",per Year,"5b Beuna Vista estate, ikota,",4,4,Lagos
"600,000",per Year,"Seaside estate badore ajah lekki lagos,",2,2,Lagos
"360,000",per Year,"Meiran Road,",1,2,Lagos
10,per Year,"ONSE ROAD, ATAN-OTA, OGUN STATE.,",4,3,Ogun
"2,200,000",per Year,"Right Hand Side, Lekki,",2,3,Lagos
"3,300,000",per Year,"Chevy View Estate, Lekki,,",5,6,Lagos
